"","participant","ffold","pballs","cballs_win","cballs_lose","name"
"74",74,3.791312445,4,2,4,"P"
"75",75,1.814125922,0,3,3,"M"
"76",76,7.17184338,6,4,2,"V"
"77",77,4.797391746,2,0,1,"Q"
"78",78,4.370129464,2,1,4,"R"
"79",79,6.175502851,1,0,2,"L"
"80",80,13.5584746,5,1,1,"R"
"81",81,2.805072532,6,1,0,"O"
"82",82,9.517533021,4,1,1,"G"
"83",83,-0.860216,4,0,2,"P"
"84",84,12.89751874,4,1,4,"T"
"85",85,3.579393432,2,0,2,"M"
"86",86,0.23708079,3,0,2,"K"
"87",87,1.606133797,5,2,4,"J"
"88",88,8.99602322,2,0,4,"I"
"89",89,-2.169680017,0,1,5,"V"
"90",90,8.068576612,2,1,1,"O"
"91",91,6.469297689,3,1,1,"Q"
"92",92,19.93206057,6,1,2,"R"
"93",93,-5.953799983,4,0,4,"Q"
"94",94,2.291153377,5,0,4,"L"
"95",95,3.019858274,1,0,2,"L"
"96",96,0.723947818,2,0,1,"Q"
"97",97,-5.704636654,0,2,2,"T"
"98",98,6.166124641,4,0,4,"I"
"99",99,9.724340805,4,0,1,"Q"
"100",100,-3.772714104,3,0,2,"L"
"101",101,5.397102882,2,2,4,"Q"
"102",102,16.26833131,4,1,3,"S"
"103",103,-12.23885449,0,0,1,"I"
"104",104,4.813165695,1,0,3,"W"
"105",105,4.693832863,5,0,5,"M"
"106",106,-12.30850998,3,3,3,"M"
"107",107,4.70347068,2,2,3,"Q"
"108",108,11.33853836,1,2,1,"S"
"109",109,2.435331688,3,1,5,"T"
"110",110,3.164266645,5,1,3,"M"
"111",111,12.1699267,5,3,3,"Q"
"112",112,6.629494138,1,1,4,"P"
"113",113,0.209294485,5,1,4,"M"
"114",114,-2.959923113,2,0,2,"M"
"115",115,19.93071471,4,0,1,"O"
"116",116,-9.227073059,3,3,3,"H"
"117",117,0.636989658,4,0,4,"N"
"118",118,-2.500200973,5,2,1,"P"
"119",119,6.106011581,1,2,3,"M"
"120",120,7.543880096,4,1,3,"L"
"121",121,5.189129992,1,0,2,"P"
"122",122,4.982775246,3,0,1,"K"
"123",123,9.192976668,3,4,2,"L"
"124",124,4.049624939,4,1,1,"Q"
"125",125,-5.210748505,5,2,1,"M"
"126",126,16.29937921,2,2,3,"M"
"127",127,-7.96517499,2,1,1,"L"
"128",128,-5.138460213,4,0,3,"J"
"129",129,6.419843672,0,1,3,"N"
"130",130,-4.223078897,0,0,3,"N"
"131",131,-10.47851915,2,1,4,"M"
"132",132,4.490109879,4,2,2,"M"
"133",133,-13.89820731,3,1,3,"O"
"134",134,6.191327172,0,2,4,"P"
"135",135,-15.20881401,1,2,3,"J"
"136",136,12.12169515,6,1,3,"P"
"137",137,10.35181413,1,1,2,"I"
"138",138,2.531573514,2,1,3,"M"
"139",139,1.898805479,3,0,4,"H"
"140",140,-1.728447215,5,1,1,"O"
"141",141,-5.291452549,3,1,5,"H"
"142",142,-5.861941812,2,0,2,"L"
"143",143,-2.531077181,1,2,1,"P"
"144",144,6.151571365,3,0,6,"M"
"145",145,4.376471176,1,0,1,"O"
"146",146,-7.279462457,3,2,0,"W"
"147",147,11.52025623,5,1,0,"P"
"148",148,-5.680522118,6,0,3,"Q"
"149",149,7.196340191,4,2,2,"N"
"150",150,10.22417297,2,2,4,"V"
"151",151,1.182729306,2,2,1,"L"
"152",152,3.735657977,1,1,5,"J"
"153",153,3.297538857,5,1,2,"L"
"154",154,-4.514645754,5,1,4,"Q"
"155",155,0.713759348,0,1,0,"K"
"156",156,10.61874051,5,0,1,"J"
"157",157,4.11564264,4,3,3,"J"
"158",158,5.576345057,4,1,2,"O"
"159",159,11.49950566,2,2,3,"O"
"160",160,7.793387271,2,1,1,"H"
"161",161,32.23231329,1,0,2,"N"
"162",162,10.93398744,3,2,3,"P"
"163",163,2.709873706,4,2,4,"L"
"164",164,11.80137512,4,1,0,"N"
"165",165,-7.310090209,0,1,4,"M"
"166",166,6.312762843,3,2,2,"L"
"167",167,5.296843519,4,0,1,"R"
"168",168,1.50042835,1,3,2,"N"
"169",169,1.851197596,1,0,3,"L"
"170",170,2.832095793,0,4,1,"R"
"171",171,14.95513465,3,0,5,"S"
"172",172,-3.56238084,2,1,1,"O"
"173",173,1.093611211,2,1,4,"L"
"174",174,-3.221576691,1,0,1,"Q"
"175",175,-4.362535252,7,1,0,"L"
"176",176,1.586735262,2,1,0,"L"
"177",177,11.03761041,3,1,1,"L"
"178",178,-8.65133078,0,2,4,"F"
"179",179,5.040891666,4,2,3,"N"
"180",180,2.111998062,4,1,3,"N"
"181",181,-0.017461181,4,3,2,"S"
"182",182,14.00288693,3,0,1,"N"
"183",183,-3.761442048,2,3,2,"R"
"184",184,1.210722489,6,1,3,"I"
"185",185,5.765260844,2,0,3,"V"
"186",186,1.913343267,2,2,1,"O"
"187",187,10.22004641,4,1,2,"K"
"188",188,-10.14124176,2,1,2,"S"
"189",189,8.794989838,1,0,3,"J"
"190",190,13.03824688,3,1,4,"L"
"191",191,3.40200491,2,2,4,"K"
"192",192,3.019391025,8,2,0,"P"
"193",193,9.306382378,3,0,6,"P"
"194",194,4.690331289,3,2,3,"M"
"195",195,-4.733882691,4,3,2,"V"
"196",196,19.7306238,6,1,2,"V"
"197",197,6.986669188,5,0,3,"R"
"198",198,-4.837048622,4,1,3,"Q"
"199",199,13.93871966,2,0,1,"H"
"200",200,-6.234698069,4,0,3,"Q"
"201",201,-9.42868843,2,1,2,"Q"
"202",202,-3.02218115,2,4,2,"M"
"203",203,-2.935351514,3,2,4,"N"
"204",204,-3.320275507,4,1,5,"M"
"205",205,9.586740575,1,0,2,"N"
"206",206,-1.58057159,3,1,1,"M"
"207",207,6.338323843,4,1,5,"K"
"208",208,7.216453291,3,3,3,"Q"
"209",209,-1.81263416,0,2,4,"P"
"210",210,5.480048187,1,1,1,"T"
"211",211,8.834319724,1,1,1,"O"
"212",212,-5.20436177,5,1,0,"J"
"213",213,13.72954827,1,1,0,"P"
"214",214,-4.266784385,1,1,3,"O"
"215",215,-4.282355138,4,1,1,"L"
"216",216,-5.557907253,5,0,4,"T"
"217",217,-7.016208523,3,2,2,"Q"
"218",218,0.926910204,3,2,0,"N"
"219",219,1.625072273,7,2,2,"V"
"220",220,-0.523353186,2,0,1,"J"
"221",221,0.619332107,4,1,2,"S"
"222",222,10.18340117,0,1,5,"K"
"223",223,7.836706952,3,1,0,"R"
"224",224,7.384560078,7,2,4,"F"
"225",225,1.985563317,0,0,2,"J"
"226",226,-6.046066576,1,1,4,"L"
"227",227,9.831632378,7,1,1,"H"
"228",228,-4.373926989,3,0,2,"V"
"229",229,-0.783902451,3,2,3,"M"
"230",230,-5.767841338,2,2,3,"S"
"231",231,7.49651276,2,3,2,"M"
